,mfc1,mfc2,mfc3,mfc4,x1,y1,s1,x2,y2,s2,x3,y3,s3,n,split
207.0,0.139446914196014,0.0778552144765854,0.0613097213208675,0.0848201289772987,0.103625,0.321025,0.45,0.712225,0.372325,0.3,,,,2,train
208.0,0.426324754953384,0.501335501670837,0.23792764544487,0.255755186080933,0.6929,0.033175,0.6,0.364325,0.2593,0.6,,,,2,train
209.0,0.11074248701334,0.248061060905457,0.143802806735039,0.146036893129349,0.840575,0.010075,0.45,0.639525,0.627775,0.45,0.269075,0.757125,0.3,3,train
210.0,0.0980226621031761,0.114567801356315,0.0801038146018982,0.203491806983948,0.693575,0.00835,0.3,0.619275,0.4108,0.3,0.032275,0.776475,0.45,3,train
211.0,0.0656087473034859,0.0146044716238975,0.0106267994269728,0.0207364428788424,0.15985,0.061,0.3,,,,,,,1,train
212.0,0.239869743585587,0.1735600233078,0.160512506961823,0.23307691514492,0.361875,0.43215,0.6,0.077875,0.651925,0.3,,,,2,train
213.0,0.0444387644529343,0.0210552718490362,0.0180609207600355,0.0350147895514965,0.204225,0.3343,0.3,,,,,,,1,train
214.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
215.0,0.200200140476227,0.174061998724937,0.354872822761536,0.365969479084015,0.066675,0.601375,0.45,0.162425,0.9757,0.3,0.618725,0.949475,0.6,3,train
216.0,0.0360056757926941,0.0247971955686808,0.0204736534506083,0.0315952338278294,0.36205,0.368025,0.3,,,,,,,1,train
219.0,0.272485971450806,0.223775640130043,0.278501003980637,0.482515215873718,0.1813,0.44315,0.45,0.972,0.580225,0.45,0.213025,0.784225,0.6,3,train
220.0,0.142195746302605,0.6345254778862,0.100924022495746,0.0978471487760544,0.555925,0.02155,0.45,0.893425,0.021175,0.6,,,,2,train
222.0,0.0231529921293259,0.0209246724843979,0.0313958935439587,0.0489662624895573,0.427,0.82,0.3,,,,,,,1,train
223.0,0.250714898109436,0.134008258581161,0.109000407159328,0.165773272514343,0.352525,0.065675,0.45,0.0391,0.4084,0.45,0.3805,0.59965,0.3,3,train
