Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1)
Herford,22061.999999999996,354.0,7.0,250783.0,1411.5789347762807,450.41,45.551506681074876,24.69448049180442,75222.0,120130.0,55431.0,556.7882595857108,0.0
Herne,17579.0,219.0,2.0,156374.0,1400.4885722690474,51.42,45.18987171780475,24.417614461921055,48001.0,74220.0,34153.0,3041.112407623493,0.0
Hersfeld-Rotenburg,20459.0,283.0,22.0,120829.0,2342.1529599682194,1097.74,46.63318822468116,24.717222896127087,34571.0,57295.0,28963.0,110.07069069178493,0.0
Herzogtum Lauenburg,22961.0,266.0,16.0,197264.0,1348.4467515613594,1263.04,45.75516820098954,24.71831720743254,57167.0,95987.0,44110.0,156.18191031162908,0.0
Hildburghausen,19529.0,67.0,1.0,63553.0,1054.238194892452,938.42,48.31520935282363,24.20727691369443,15048.0,32681.0,15824.0,67.72340742950918,1.0
Hildesheim,20609.0,412.0,6.0,276594.0,1489.5478571480219,1208.33,46.235446177429736,24.613377889051176,82459.0,129628.0,64507.0,228.90601077520216,0.0
Hochsauerlandkreis,23151.0,616.0,17.0,260475.0,2364.910260101737,1960.17,45.7717535272099,24.4715100752212,77613.0,125531.0,57331.0,132.88388252039363,0.0
Hochtaunuskreis,31612.0,288.0,5.0,236564.0,1217.429532811417,481.84,45.62966258602323,24.837822623584785,69435.0,113711.0,53418.0,490.9596546571476,0.0
Hof,21293.590236627162,568.0,36.0,141241.0,4021.4951749137995,950.54,47.538377666541585,24.684083719993513,39070.0,66657.0,35514.0,148.59027500157805,0.0
Hohenlohekreis,23219.0,772.0,47.0,112010.0,6892.241764128203,776.76,43.9450495491474,24.082058252662417,35607.0,54615.0,21788.0,144.20155517791852,0.0
Holzminden,20573.0,106.0,7.0,70975.0,1493.4836209933073,694.24,47.97696371961958,24.99593734814491,19604.0,32715.0,18656.0,102.23409771836829,0.0
Höxter,21148.000000000004,366.0,18.0,140667.0,2601.8895689820642,1201.42,46.0179110949974,24.64214106831987,41890.0,66940.0,31837.0,117.08395065838756,0.0
Ilm-Kreis,18691.0,135.0,6.0,108742.0,1241.470636920417,843.71,47.876652995162864,24.663650000997926,28040.0,52655.0,28047.0,128.88551753564613,1.0
Ingolstadt,22950.0,474.0,37.0,136981.0,3460.3339149225076,133.35,42.64319504164811,23.808205589037343,44944.0,66899.0,25138.0,1027.2290963629546,0.0
Jena,18030.0,161.0,3.0,111407.0,1445.1515613920133,114.76,43.13114526017216,24.616963084968685,38486.0,49220.0,23701.0,970.7825026141512,1.0
Jerichower Land,19625.999999999996,33.0,2.0,89928.0,366.9602348545503,1576.85,49.01678009073926,24.379151356195077,20602.0,46162.0,23164.0,57.03015505596601,1.0
Kaiserslautern,19895.706146613436,291.0,7.0,205902.0,1413.2937028295014,779.7,44.50102233101184,24.364591439593173,66803.0,95921.0,43178.0,264.0784917275875,0.0
Karlsruhe,23189.419867850484,1371.0,93.0,757324.0,1810.3216060761313,1258.7,44.06415153883939,23.974850676114123,242301.0,363737.0,151286.0,601.6715659013267,0.0
Kassel,20577.46634095359,759.0,37.0,438218.0,1732.0146593704503,1400.1399999999999,45.2945143741243,24.4963158694033,135253.0,204880.0,98085.0,312.9815589869585,0.0
Kaufbeuren,21906.0,111.0,5.0,43893.0,2528.8770418973413,40.02,45.54718292210603,24.809177085858686,13296.0,20555.0,10042.0,1096.7766116941527,0.0
Kelheim,22451.0,446.0,35.0,122258.0,3648.023033257537,1065.14,43.37842104402166,23.823597852573727,39266.0,60290.0,22702.0,114.78115552885066,0.0
Kempten (Allgäu),21551.0,102.0,10.0,68907.0,1480.255997213636,63.28,44.60358163902071,24.579332011574646,22326.0,31315.0,15266.0,1088.9222503160556,0.0
Kiel,18810.0,281.0,10.0,247548.0,1135.1333882721735,118.65,42.512841953883694,23.656265530758443,88547.0,113032.0,45969.0,2086.3716814159293,0.0
Kitzingen,23748.0,191.0,3.0,90909.0,2101.002101002101,684.14,44.937057937057936,24.05190456689008,27383.0,44767.0,18759.0,132.8806969333762,0.0
Kleve,19947.0,786.0,37.0,310974.0,2527.5424955140943,1232.99,44.81274479538482,24.103984984472277,95527.0,151173.0,64274.0,252.21129125134834,0.0
Koblenz,21029.0,265.0,18.0,114024.0,2324.072125166632,105.25,44.309925980495336,24.439209387756907,37952.0,51438.0,24634.0,1083.3634204275534,0.0
Konstanz,23616.999999999996,468.0,16.0,285325.0,1640.2348199421713,817.98,44.26095855603259,24.454715670836073,93780.0,132071.0,59474.0,348.8165969828113,0.0
Krefeld,21115.0,645.0,22.0,227020.0,2841.1593692185706,137.77,45.22972645581887,24.535941154529393,69442.0,107846.0,49732.0,1647.818828482253,0.0
Kronach,22101.999999999996,167.0,3.0,67135.0,2487.525135920161,651.49,47.91523050569747,24.06261322945249,17422.0,33484.0,16229.0,103.04839675206065,0.0
Kulmbach,22462.0,244.0,11.0,71845.0,3396.200153107384,658.34,47.47928178718074,24.122908571470585,19222.0,35328.0,17295.0,109.13054045022328,0.0
