Landkreis,Net_needs,Gross_needs,Ded_income
"Quedlinburg, Landkreis (until 2007-06-30)",-,-,-
"Schönebeck, Landkreis (until 2007-06-30)",-,-,-
"Wernigerode, Landkreis (until 2007-06-30)",-,-,-
Altmarkkreis Salzwedel (until 2007-06-30),-,-,-
"Erfurt, kreisfreie Stadt",495,761,370
"Gera, kreisfreie Stadt",439,712,338
"Jena, kreisfreie Stadt",480,731,346
"Suhl, kreisfreie Stadt",442,716,352
"Weimar, kreisfreie Stadt",451,748,371
"Eisenach, kreisfreie Stadt",404,740,392
"Eichsfeld, Landkreis",421,697,330
"Nordhausen, Landkreis",434,676,304
Wartburgkreis,440,674,288
Unstrut-Hainich-Kreis,404,690,330
Kyffhäuserkreis,426,683,320
"Schmalkalden-Meiningen, Landkreis",414,663,309
"Gotha, Landkreis",410,669,310
"Sömmerda, Landkreis",416,708,340
"Hildburghausen, Landkreis",412,656,301
Ilm-Kreis,406,698,361
"Weimarer Land, Landkreis",470,692,282
"Sonneberg, Landkreis",401,692,368
"Saalfeld-Rudolstadt, Landkreis",458,697,295
Saale-Holzland-Kreis,418,711,371
Saale-Orla-Kreis,456,696,288
"Greiz, Landkreis",422,690,322
"Altenburger Land, Landkreis",399,689,357
